,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,358,1,8,0,0,14,0,1,1,0,0,1,0,0,0,0
1,0,1058,3,0,1,2,0,0,0,0,0,0,1,0,0,0
2,0,4,372,2,0,4,0,1,2,0,0,3,1,0,0,0
3,0,0,2,200,18,3,1,0,0,0,0,0,2,0,0,0
4,0,0,1,19,68,5,0,1,1,0,0,1,0,0,0,0
5,2,2,6,2,2,1276,0,3,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,92,1,0,0,0,0,0,0,0,0
7,0,2,3,0,2,4,0,53,0,0,0,1,0,0,0,0
8,0,1,6,2,0,0,1,0,623,0,0,0,1,0,0,0
9,0,0,3,0,0,0,0,0,0,31,0,0,0,0,0,0
10,0,0,0,0,0,1,0,0,0,0,33,0,1,0,0,0
11,1,1,3,0,0,0,0,0,0,1,0,52,3,0,0,0
12,0,2,5,0,0,1,0,0,0,1,0,0,310,0,0,0
13,0,0,4,0,1,0,0,0,0,3,0,0,0,10,0,0
14,2,1,12,1,0,8,0,0,1,0,0,0,0,0,68,0
15,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,46
