,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,357,1,0,0,0,7,0,1,14,1,1,0,1,1,0,0
1,0,1062,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2,0,4,369,2,0,3,0,1,9,0,0,0,0,1,0,0
3,0,0,1,197,15,5,0,0,3,0,0,0,3,1,1,0
4,0,0,0,20,58,9,1,0,7,0,0,0,0,0,1,0
5,0,1,2,0,0,1285,0,0,3,0,0,0,0,2,0,0
6,0,0,0,0,0,2,91,0,1,0,0,0,0,0,0,0
7,0,2,0,0,1,12,0,37,11,0,0,1,1,0,0,0
8,0,1,1,0,0,0,0,2,630,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,4,28,0,0,1,0,0,0
10,0,1,0,0,0,2,0,0,2,0,29,0,1,0,0,0
11,0,2,0,0,0,4,0,0,3,0,0,49,3,0,0,0
12,1,6,0,0,0,0,0,0,11,0,0,0,301,0,0,0
13,0,0,1,0,0,0,0,0,1,0,0,0,0,16,0,0
14,2,1,0,1,0,8,0,0,13,0,0,0,0,0,68,0
15,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,46
