,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,373,0,0,1,0,6,1,0,0,1,0,1,0,0,0,1
1,0,1063,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2,0,1,383,0,2,0,0,0,1,0,0,1,0,0,1,0
3,0,0,0,210,14,1,0,0,0,0,1,0,0,0,0,0
4,0,0,0,24,70,0,0,2,0,0,0,0,0,0,0,0
5,1,3,3,0,0,1284,0,0,1,0,0,0,0,0,1,0
6,0,0,0,1,0,0,93,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,0,634,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0
10,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0,0,60,0,0,0,0
12,0,0,1,0,0,0,0,1,0,0,0,0,316,0,1,0
13,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0
14,1,0,0,0,1,2,0,0,0,0,0,0,0,0,89,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49
