,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,344,0,0,0,5,21,1,5,0,2,0,3,0,0,0,3
1,0,1020,6,2,3,18,0,5,0,2,0,1,0,0,1,7
2,0,2,333,0,4,15,4,1,3,17,0,5,0,3,1,1
3,1,0,2,151,52,3,0,4,0,0,8,0,0,0,5,0
4,0,0,0,2,86,4,1,2,0,0,0,1,0,0,0,0
5,2,1,3,0,17,1195,2,15,0,15,0,27,0,1,5,10
6,0,0,0,0,0,6,86,0,0,0,0,2,0,0,0,0
7,0,0,0,0,2,4,0,58,0,0,0,0,0,0,0,1
8,4,0,0,8,5,9,3,6,576,7,0,4,0,4,2,6
9,0,0,0,0,0,0,0,1,0,31,0,0,2,0,0,0
10,0,0,0,3,0,0,0,0,0,3,23,0,1,2,3,0
11,0,1,0,0,0,2,0,0,0,3,0,54,0,0,0,1
12,0,3,0,1,0,6,2,3,3,16,0,10,266,1,4,4
13,0,0,0,2,4,0,0,0,1,0,0,0,0,10,1,0
14,0,0,0,0,2,8,2,1,0,1,0,2,0,1,76,0
15,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,44
