,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,334,0,0,0,3,9,2,5,0,9,0,14,0,0,0,8
1,0,996,2,0,2,14,2,17,0,2,0,13,0,0,1,16
2,0,0,289,0,3,5,8,1,1,54,0,12,0,3,1,12
3,0,0,1,150,52,2,0,5,0,0,9,1,0,0,6,0
4,0,0,0,3,80,3,1,5,0,0,0,4,0,0,0,0
5,2,0,4,1,21,1120,14,34,0,41,0,40,0,1,3,12
6,0,0,0,0,0,3,84,0,0,0,0,7,0,0,0,0
7,0,0,0,0,0,1,0,63,0,0,0,0,0,0,0,1
8,3,0,0,3,12,3,1,5,523,24,0,38,0,4,2,16
9,0,0,0,0,0,0,0,1,0,31,0,0,2,0,0,0
10,0,0,0,1,0,0,0,0,0,4,23,0,1,2,3,1
11,0,0,0,0,0,0,0,0,0,6,0,54,0,0,0,1
12,0,0,0,0,0,2,2,3,1,48,0,36,220,1,2,4
13,0,0,0,1,3,0,1,0,0,1,0,0,0,10,2,0
14,0,0,0,0,0,2,3,0,0,4,0,2,0,1,79,2
15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,44
