,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,374,1,1,0,0,5,0,1,2,0,0,0,0,0,0,0
1,0,1062,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,0,3,382,0,0,0,0,0,3,0,0,1,0,0,0,0
3,0,0,0,201,25,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,11,83,2,0,0,0,0,0,0,0,0,0,0
5,0,1,4,0,1,1285,0,0,0,0,0,0,2,0,0,0
6,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,0,64,0,0,0,0,0,0,0,0
8,0,0,1,0,0,2,0,0,630,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,318,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
14,2,0,1,1,0,4,0,0,0,0,0,0,0,0,85,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
