,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,362,4,0,0,0,13,1,0,1,0,0,0,1,0,0,2
1,2,1047,4,0,0,7,1,2,1,0,0,0,0,0,0,1
2,3,11,366,0,0,1,0,2,4,0,0,1,1,0,0,0
3,1,11,0,194,13,3,0,1,1,0,0,0,2,0,0,0
4,0,0,0,27,55,13,1,0,0,0,0,0,0,0,0,0
5,18,21,16,4,2,1215,1,1,1,0,1,2,5,0,5,1
6,7,0,1,1,1,23,55,4,2,0,0,0,0,0,0,0
7,1,0,1,0,0,9,0,54,0,0,0,0,0,0,0,0
8,2,7,10,0,0,6,5,1,601,0,0,0,2,0,0,0
9,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
10,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
11,0,3,3,0,0,0,0,0,0,0,0,55,0,0,0,0
12,0,3,1,2,0,1,0,0,9,0,0,0,302,0,0,1
13,0,3,2,5,0,0,0,0,0,1,0,0,1,6,0,0
14,5,11,8,1,0,4,0,2,1,0,0,3,1,0,57,0
15,0,1,0,0,0,1,0,0,4,1,0,0,1,0,0,42
