,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,366,0,1,1,1,1,5,3,0,1,0,0,0,0,3,2
1,3,1005,12,6,3,1,3,6,1,0,0,4,2,2,12,5
2,2,3,367,1,0,0,3,1,1,0,0,4,0,3,3,1
3,1,2,0,199,20,0,1,1,0,0,0,0,2,0,0,0
4,1,0,0,15,77,0,2,1,0,0,0,0,0,0,0,0
5,50,7,17,17,53,1053,23,23,4,1,1,8,5,2,24,5
6,1,0,1,0,2,6,81,3,0,0,0,0,0,0,0,0
7,0,0,1,0,2,0,0,62,0,0,0,0,0,0,0,0
8,3,1,11,1,0,1,12,3,594,0,0,1,3,0,0,4
9,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1
12,0,0,1,0,0,0,0,0,2,0,0,0,315,0,0,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
14,4,1,5,0,1,0,1,1,0,0,0,2,1,0,77,0
15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,48
