,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,374,0,0,1,0,6,0,2,0,0,0,0,0,0,1,0
1,0,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,380,2,0,1,0,0,3,0,0,1,0,0,1,0
3,0,0,0,210,14,0,0,0,1,0,0,0,1,0,0,0
4,0,0,0,14,80,0,0,1,1,0,0,0,0,0,0,0
5,1,1,2,0,0,1287,0,0,0,0,0,0,0,0,2,0
6,1,0,0,0,0,0,92,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,1
8,0,0,0,1,0,0,0,0,632,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0
12,0,1,1,0,0,0,0,0,0,0,0,0,317,0,0,0
13,0,0,1,0,0,0,0,0,0,1,0,0,0,16,0,0
14,0,0,2,0,1,2,0,0,0,0,0,0,0,0,88,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
