,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,376,1,1,0,0,4,0,1,1,0,0,0,0,0,0,0
1,0,1063,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,0,4,382,0,0,0,0,0,3,0,0,0,0,0,0,0
3,0,0,0,206,19,1,0,0,0,0,0,0,0,0,0,0
4,0,1,0,18,74,2,0,0,1,0,0,0,0,0,0,0
5,0,1,2,1,0,1287,0,0,0,0,0,0,2,0,0,0
6,1,0,1,0,0,2,90,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,7,0,56,1,0,0,0,0,0,0,0
8,0,0,1,0,0,1,0,0,631,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
11,0,0,0,0,0,2,0,0,0,0,0,58,1,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,318,0,0,0
13,0,0,5,0,0,0,0,0,0,0,0,0,2,10,1,0
14,3,1,1,1,0,5,0,0,1,0,0,0,0,0,81,0
15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49
