,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,369,1,0,0,0,11,0,1,0,0,0,0,1,0,0,1
1,0,1058,0,0,0,6,0,0,0,0,0,0,0,0,1,0
2,0,1,383,0,0,2,1,0,2,0,0,0,0,0,0,0
3,0,0,0,209,16,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,15,76,3,1,1,0,0,0,0,0,0,0,0
5,0,3,1,1,0,1282,0,0,1,0,1,0,3,0,1,0
6,0,0,0,1,1,10,82,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,0,64,0,0,0,0,0,0,0,0
8,0,1,0,0,0,2,0,0,631,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,60,0,0,0,0
12,0,1,0,0,0,1,0,0,1,0,0,0,316,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
14,1,1,0,0,0,2,0,0,0,0,0,0,1,0,88,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
